,id,model,grid_num,reward,best_reward
0,0,pressure,0,-2,-1
1,0,pressure,1,0,1
2,0,pressure,2,0,0
3,0,pressure,3,-2,1
4,0,pressure,4,2,2
5,0,pressure,5,2,2
6,0,pressure,6,-1,-1
7,0,pressure,7,-2,-2
8,0,pressure,8,2,2
9,0,pressure,9,0,0
10,0,pressure,10,-1,-1
11,0,pressure,11,2,2
12,0,pressure,12,-2,-1
13,0,pressure,13,1,1
14,0,pressure,14,-1,-1
15,0,pressure,15,1,1
16,0,pressure,16,2,2
17,0,pressure,17,1,1
18,0,pressure,18,-1,-1
19,0,pressure,19,1,1
20,0,pressure,20,1,1
21,0,pressure,21,0,0
22,0,pressure,22,0,0
23,0,pressure,23,1,1
24,0,pressure,24,-2,0
25,0,pressure,25,-1,0
26,0,pressure,26,2,2
27,0,pressure,27,-1,-1
28,0,pressure,28,2,2
29,0,pressure,29,0,0
30,0,pressure,30,0,0
31,0,pressure,31,0,0
32,0,pressure,32,0,0
33,1,pressure,0,-1,-1
34,1,pressure,1,0,1
35,1,pressure,2,0,0
36,1,pressure,3,-2,1
37,1,pressure,4,2,2
38,1,pressure,5,2,2
39,1,pressure,6,-1,-1
40,1,pressure,7,-2,-2
41,1,pressure,8,2,2
42,1,pressure,9,0,0
43,1,pressure,10,-1,-1
44,1,pressure,11,2,2
45,1,pressure,12,-2,-1
46,1,pressure,13,1,1
47,1,pressure,14,-2,-1
48,1,pressure,15,1,1
49,1,pressure,16,2,2
50,1,pressure,17,0,1
51,1,pressure,18,-1,-1
52,1,pressure,19,1,1
53,1,pressure,20,1,1
54,1,pressure,21,0,0
55,1,pressure,22,0,0
56,1,pressure,23,1,1
57,1,pressure,24,-2,0
58,1,pressure,25,0,0
59,1,pressure,26,2,2
60,1,pressure,27,-1,-1
61,1,pressure,28,2,2
62,1,pressure,29,0,0
63,1,pressure,30,0,0
64,1,pressure,31,0,0
65,1,pressure,32,0,0
66,2,pressure,0,-1,-1
67,2,pressure,1,0,1
68,2,pressure,2,0,0
69,2,pressure,3,-2,1
70,2,pressure,4,0,2
71,2,pressure,5,2,2
72,2,pressure,6,-1,-1
73,2,pressure,7,-2,-2
74,2,pressure,8,2,2
75,2,pressure,9,0,0
76,2,pressure,10,-1,-1
77,2,pressure,11,2,2
78,2,pressure,12,-2,-1
79,2,pressure,13,1,1
80,2,pressure,14,-1,-1
81,2,pressure,15,1,1
82,2,pressure,16,2,2
83,2,pressure,17,1,1
84,2,pressure,18,-1,-1
85,2,pressure,19,1,1
86,2,pressure,20,1,1
87,2,pressure,21,0,0
88,2,pressure,22,0,0
89,2,pressure,23,1,1
90,2,pressure,24,0,0
91,2,pressure,25,0,0
92,2,pressure,26,2,2
93,2,pressure,27,-1,-1
94,2,pressure,28,2,2
95,2,pressure,29,0,0
96,2,pressure,30,-2,0
97,2,pressure,31,0,0
98,2,pressure,32,0,0
99,3,pressure,0,-1,-1
100,3,pressure,1,0,1
101,3,pressure,2,-2,0
102,3,pressure,3,-2,1
103,3,pressure,4,2,2
104,3,pressure,5,2,2
105,3,pressure,6,-1,-1
106,3,pressure,7,-2,-2
107,3,pressure,8,2,2
108,3,pressure,9,0,0
109,3,pressure,10,-1,-1
110,3,pressure,11,2,2
111,3,pressure,12,-2,-1
112,3,pressure,13,1,1
113,3,pressure,14,-1,-1
114,3,pressure,15,1,1
115,3,pressure,16,2,2
116,3,pressure,17,1,1
117,3,pressure,18,-1,-1
118,3,pressure,19,1,1
119,3,pressure,20,1,1
120,3,pressure,21,0,0
121,3,pressure,22,0,0
122,3,pressure,23,1,1
123,3,pressure,24,0,0
124,3,pressure,25,0,0
125,3,pressure,26,2,2
126,3,pressure,27,-1,-1
127,3,pressure,28,2,2
128,3,pressure,29,0,0
129,3,pressure,30,0,0
130,3,pressure,31,0,0
131,3,pressure,32,0,0
132,4,pressure,0,-1,-1
133,4,pressure,1,0,1
134,4,pressure,2,0,0
135,4,pressure,3,-2,1
136,4,pressure,4,2,2
137,4,pressure,5,2,2
138,4,pressure,6,-1,-1
139,4,pressure,7,-2,-2
140,4,pressure,8,2,2
141,4,pressure,9,0,0
142,4,pressure,10,-1,-1
143,4,pressure,11,2,2
144,4,pressure,12,-2,-1
145,4,pressure,13,1,1
146,4,pressure,14,-1,-1
147,4,pressure,15,1,1
148,4,pressure,16,2,2
149,4,pressure,17,1,1
150,4,pressure,18,-1,-1
151,4,pressure,19,1,1
152,4,pressure,20,1,1
153,4,pressure,21,0,0
154,4,pressure,22,0,0
155,4,pressure,23,1,1
156,4,pressure,24,0,0
157,4,pressure,25,0,0
158,4,pressure,26,2,2
159,4,pressure,27,-1,-1
160,4,pressure,28,2,2
161,4,pressure,29,0,0
162,4,pressure,30,0,0
163,4,pressure,31,0,0
164,4,pressure,32,0,0
165,5,pressure,0,-1,-1
166,5,pressure,1,0,1
167,5,pressure,2,0,0
168,5,pressure,3,-2,1
169,5,pressure,4,2,2
170,5,pressure,5,2,2
171,5,pressure,6,-1,-1
172,5,pressure,7,-2,-2
173,5,pressure,8,2,2
174,5,pressure,9,0,0
175,5,pressure,10,-1,-1
176,5,pressure,11,2,2
177,5,pressure,12,-2,-1
178,5,pressure,13,1,1
179,5,pressure,14,-1,-1
180,5,pressure,15,-1,1
181,5,pressure,16,2,2
182,5,pressure,17,0,1
183,5,pressure,18,-1,-1
184,5,pressure,19,1,1
185,5,pressure,20,1,1
186,5,pressure,21,0,0
187,5,pressure,22,0,0
188,5,pressure,23,1,1
189,5,pressure,24,0,0
190,5,pressure,25,0,0
191,5,pressure,26,2,2
192,5,pressure,27,-1,-1
193,5,pressure,28,2,2
194,5,pressure,29,0,0
195,5,pressure,30,0,0
196,5,pressure,31,0,0
197,5,pressure,32,0,0
198,6,pressure,0,-1,-1
199,6,pressure,1,1,1
200,6,pressure,2,0,0
201,6,pressure,3,1,1
202,6,pressure,4,2,2
203,6,pressure,5,2,2
204,6,pressure,6,-1,-1
205,6,pressure,7,-2,-2
206,6,pressure,8,2,2
207,6,pressure,9,0,0
208,6,pressure,10,-1,-1
209,6,pressure,11,2,2
210,6,pressure,12,-2,-1
211,6,pressure,13,1,1
212,6,pressure,14,-2,-1
213,6,pressure,15,1,1
214,6,pressure,16,2,2
215,6,pressure,17,1,1
216,6,pressure,18,-1,-1
217,6,pressure,19,1,1
218,6,pressure,20,1,1
219,6,pressure,21,0,0
220,6,pressure,22,0,0
221,6,pressure,23,1,1
